#Sent by Francisco Castander on 23/05/11 in my email account pmarti@ifae.es
#Num. of objects (rows) = 114305
#Num. of fields (columns) = 57
#AB Magnitudes system
#1: ID
#2: z_true
#3: template
#4: E(B-V) (no utlitzat)
#5: Mr (filtre r_sdss)
#6: r_sdss  (aquest es meu)
#7: up.res
#8: g.res
#9: r.res
#10:i.res
#11:z.res
#12:y.res
#13:D_4550.res
#...
#52:D_8450.res
#53:F814W_WFC.res
#54:i_SDSS.res
#55:J_2MASS
#56:H_2MASS
#57:Ks_2MASS
        0   0.7230   11.46    0.002  -23.098   20.736   22.681   21.984   20.518   19.543   19.136   18.964   22.209   22.135   22.062   21.986   21.900   21.813   21.724   21.651   21.565   21.431   21.314   21.232   21.142   21.051   20.952   20.851   20.793   20.747   20.597   20.497   20.496   20.415   20.326   20.187   19.972   19.924   19.902   19.835   19.805   19.774   19.691   19.591   19.513   19.463   19.423   19.397   19.360   19.316   19.308   19.296   19.451   19.667   18.544   18.027   17.822
        1   0.9150   12.12    0.032  -21.861   23.023   24.574   24.041   22.844   21.771   21.119   20.976   24.179   24.136   24.088   24.037   23.984   23.924   23.861   23.797   23.734   23.662   23.588   23.511   23.435   23.372   23.293   23.176   23.069   22.993   22.913   22.831   22.743   22.654   22.562   22.524   22.480   22.343   22.236   22.230   22.182   22.088   22.020   21.838   21.685   21.667   21.641   21.580   21.549   21.533   21.471   21.387   21.590   21.950   20.498   19.987   19.634
        2   0.2786   15.75    0.002  -20.953   19.271   21.689   20.287   19.198   18.826   18.538   18.404   20.597   20.540   20.341   20.278   20.157   20.057   19.834   19.775   19.705   19.658   19.628   19.516   19.414   19.361   19.322   19.283   19.247   19.236   19.203   19.186   19.181   19.167   19.121   19.074   19.014   18.983   18.948   18.933   18.920   18.909   18.894   18.862   18.831   18.808   18.791   18.777   18.756   18.729   18.702   18.677   18.761   18.883   17.985   17.797   17.603
        3   0.4587   10.68    0.010  -20.978   20.915   23.529   22.315   20.764   20.217   19.885   19.743   22.657   22.491   22.380   22.279   22.173   22.057   21.945   21.903   21.765   21.626   21.620   21.521   21.408   21.162   21.037   21.015   20.941   20.910   20.840   20.728   20.625   20.562   20.514   20.485   20.426   20.404   20.392   20.362   20.355   20.349   20.351   20.291   20.241   20.178   20.156   20.122   20.086   20.067   20.051   20.040   20.142   20.289   19.338   18.957   18.808
        4   0.4415   11.97    0.212  -18.313   23.401   25.969   24.778   23.267   22.764   22.441   22.302   25.092   24.956   24.854   24.746   24.629   24.509   24.436   24.360   24.181   24.139   24.070   23.962   23.776   23.586   23.567   23.496   23.455   23.412   23.306   23.198   23.129   23.083   23.052   23.000   22.971   22.961   22.932   22.918   22.914   22.914   22.866   22.816   22.754   22.727   22.694   22.658   22.641   22.625   22.615   22.607   22.690   22.832   21.894   21.532   21.377
        5   1.1721    6.89    0.142  -21.379   25.005   26.364   25.863   24.796   23.755   22.752   22.365   25.931   25.894   25.858   25.824   25.793   25.763   25.735   25.702   25.658   25.612   25.555   25.496   25.414   25.330   25.247   25.166   25.076   24.981   24.888   24.794   24.716   24.664   24.579   24.435   24.302   24.233   24.177   24.113   24.053   23.980   23.905   23.832   23.805   23.763   23.643   23.529   23.502   23.533   23.507   23.421   23.464   23.906   21.771   21.235   20.744
        6   0.9392    7.70    0.066  -21.212   23.993   25.746   25.177   23.814   22.708   21.919   21.749   25.335   25.301   25.255   25.205   25.145   25.080   24.995   24.908   24.822   24.735   24.635   24.536   24.437   24.352   24.292   24.185   24.027   23.915   23.851   23.778   23.708   23.627   23.541   23.465   23.440   23.359   23.218   23.144   23.166   23.141   23.047   22.935   22.716   22.538   22.509   22.495   22.438   22.396   22.365   22.285   22.481   22.907   21.224   20.718   20.338
        7   1.0512   10.83    0.668  -20.201   25.400   26.788   26.273   25.220   24.156   23.324   23.064   26.370   26.333   26.296   26.260   26.223   26.179   26.133   26.081   26.028   25.964   25.899   25.835   25.770   25.696   25.621   25.543   25.467   25.408   25.340   25.228   25.111   25.032   24.964   24.889   24.814   24.731   24.649   24.569   24.545   24.491   24.361   24.257   24.254   24.233   24.145   24.075   23.949   23.749   23.669   23.667   23.927   24.372   22.590   22.079   21.627
        8   0.1268    6.64    0.015  -13.950   24.294   26.758   25.159   24.216   23.816   23.541   23.400   25.345   25.274   25.198   25.127   24.983   24.831   24.732   24.672   24.603   24.557   24.534   24.516   24.509   24.503   24.400   24.323   24.293   24.242   24.204   24.178   24.165   24.147   24.081   24.029   24.009   24.009   24.001   23.963   23.916   23.879   23.866   23.844   23.816   23.791   23.771   23.781   23.779   23.710   23.660   23.630   23.756   23.882   23.080   22.925   22.924
        9   1.2652   10.47    0.203  -21.505   24.959   26.027   25.591   24.820   23.820   22.924   22.541   25.650   25.617   25.585   25.553   25.520   25.487   25.454   25.421   25.389   25.356   25.317   25.276   25.230   25.183   25.129   25.069   25.009   24.950   24.890   24.821   24.751   24.680   24.607   24.547   24.495   24.418   24.308   24.203   24.135   24.075   24.008   23.939   23.868   23.794   23.717   23.663   23.650   23.578   23.452   23.367   23.577   24.008   21.894   21.341   20.851
